Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
4.162022107,1,1,1,1,1,1,1,1
4.162140375,1,0,1,1,1,1,1,1
4.162141000,0,0,1,1,1,1,1,1
4.162142500,1,0,1,1,1,1,1,1
4.162144000,0,0,1,1,1,1,1,1
4.162145375,1,0,1,1,1,1,1,1
4.162146750,0,0,1,1,1,1,1,1
4.162148250,1,0,1,1,1,1,1,1
4.162149625,0,0,1,1,1,1,1,1
4.162150375,0,1,1,1,1,1,1,1
4.162151000,1,1,1,1,1,1,1,1
4.162152500,0,1,1,1,1,1,1,1
4.162153125,0,0,1,1,1,1,1,1
4.162153875,1,0,1,1,1,1,1,1
4.162155250,0,0,1,1,1,1,1,1
4.162156000,0,1,1,1,1,1,1,1
4.162156750,1,1,1,1,1,1,1,1
4.162158125,0,1,1,1,1,1,1,1
4.162158875,0,0,1,1,1,1,1,1
4.162159500,1,0,1,1,1,1,1,1
4.162161000,0,0,1,1,1,1,1,1
4.162162375,1,0,1,1,1,1,1,1
4.162163750,0,0,1,1,1,1,1,1
4.162164500,0,1,1,1,1,1,1,1
4.162165250,1,1,1,1,1,1,1,1
4.162166625,0,1,1,1,1,1,1,1
4.162167375,0,0,1,1,1,1,1,1
4.162168125,1,0,1,1,1,1,1,1
4.162169625,0,0,1,1,1,1,1,1
4.162171000,1,0,1,1,1,1,1,1
4.162172375,0,0,1,1,1,1,1,1
4.162173875,1,0,1,1,1,1,1,1
4.162175250,0,0,1,1,1,1,1,1
4.162176625,1,0,1,1,1,1,1,1
4.162178125,0,0,1,1,1,1,1,1
4.162179500,1,0,1,1,1,1,1,1
4.162180875,0,0,1,1,1,1,1,1
4.162182375,1,0,1,1,1,1,1,1
4.162183750,0,0,1,1,1,1,1,1
4.162185125,1,0,1,1,1,1,1,1
4.162186625,0,0,1,1,1,1,1,1
4.162188000,1,0,1,1,1,1,1,1
4.162189375,0,0,1,1,1,1,1,1
4.162190125,0,1,1,1,1,1,1,1
4.162190875,1,1,1,1,1,1,1,1
4.162192250,0,1,1,1,1,1,1,1
4.162193000,0,0,1,1,1,1,1,1
4.162193750,1,0,1,1,1,1,1,1
4.162195125,0,0,1,1,1,1,1,1
4.162196625,1,0,1,1,1,1,1,1
